id,user_id,interest_id
1,1,20
2,2,5
3,3,20
4,3,6
5,3,5
6,3,19
7,4,3
8,4,5
9,4,4
10,5,8
11,5,11
12,5,9
13,6,12
14,6,3
15,7,17
16,7,5
17,8,14
18,9,6
19,9,19
20,9,18
21,9,13
22,9,3
23,10,5
24,11,8
25,11,12
26,11,10
27,11,13
28,11,16
29,12,19
30,12,15
31,12,9
32,13,1
33,14,5
34,14,12
35,14,6
36,14,9
37,14,18
38,15,2
39,15,16
40,16,12
41,17,7
42,18,14
43,18,7
44,18,17
45,19,14
46,19,8
47,19,4
48,19,18
49,19,20
50,20,18
51,20,3
52,20,14
53,20,13
54,21,4
55,21,8
56,21,10
57,21,11
58,22,7
59,23,3
60,23,16
61,24,7
62,24,11
63,25,2
64,25,18
65,25,12
66,26,9
67,26,1
68,26,11
69,26,3
70,26,7
71,27,18
72,27,11
73,28,15
74,28,8
75,29,14
76,29,11
77,29,5
78,29,10
79,30,8
80,31,8
81,31,12
82,32,19
83,32,14
84,32,9
85,33,17
86,33,3
87,33,18
88,33,14
89,33,4
90,34,8
91,35,8
92,35,14
93,36,9
94,36,16
95,36,5
96,37,19
97,37,11
98,37,12
99,37,8
100,38,11
101,38,2
102,38,19
103,38,8
104,38,5
105,39,13
106,39,7
107,39,4
108,39,12
109,40,6
110,40,20
111,41,8
112,41,14
113,41,16
114,41,6
115,42,10
116,42,11
117,43,9
118,44,15
119,44,2
120,45,3
121,46,13
122,46,6
123,47,8
124,47,3
125,47,5
126,47,16
127,47,7
128,48,2
129,48,3
130,48,11
131,48,20
132,48,14
133,49,17
134,49,6
135,49,5
136,49,19
137,50,17
138,50,10
139,50,20
140,50,9
141,50,11
142,51,1
143,52,2
144,52,9
145,52,10
146,53,7
147,53,14
148,53,18
149,54,11
150,54,19
151,54,1
152,54,17
153,54,10
154,55,15
155,55,18
156,55,3
157,55,11
158,56,18
159,56,13
160,56,4
161,56,17
162,56,1
163,57,6
164,57,13
165,57,2
166,57,15
167,58,5
168,58,20
169,58,6
170,59,17
171,59,18
172,59,9
173,59,19
174,59,2
175,60,16
176,60,2
177,61,11
178,61,2
179,61,3
180,61,18
181,62,6
182,63,15
183,64,2
184,64,14
185,65,12
186,65,18
187,66,20
188,66,10
189,67,15
190,67,8
191,67,2
192,67,3
193,68,10
194,69,6
195,69,7
196,69,4
197,69,20
198,70,7
199,71,3
200,72,1
201,73,13
202,73,2
203,73,19
204,73,17
205,74,18
206,74,13
207,74,9
208,74,2
209,75,17
210,75,9
211,75,11
212,75,1
213,76,4
214,77,8
215,77,2
216,78,10
217,78,16
218,78,2
219,78,11
220,79,7
221,79,11
222,79,20
223,80,6
224,80,1
225,80,2
226,80,15
227,81,6
228,81,8
229,81,4
230,81,1
231,82,14
232,83,16
233,83,15
234,84,14
235,84,15
236,85,15
237,85,18
238,86,15
239,86,10
240,86,6
241,86,7
242,87,11
243,87,3
244,87,16
245,87,20
246,88,17
247,89,1
248,89,9
249,90,17
250,90,19
251,91,2
252,91,1
253,92,8
254,92,20
255,92,19
256,93,18
257,93,19
258,94,12
259,94,8
260,95,6
261,95,1
262,95,18
263,95,11
264,96,20
265,96,8
266,96,11
267,96,19
268,97,15
269,97,17
270,97,12
271,97,9
272,97,18
273,98,11
274,99,10
275,99,2
276,99,4
277,100,18
278,100,13
279,100,19
280,100,3
281,100,2
282,101,11
283,101,2
284,101,16
285,102,12
286,103,1
287,103,18
288,104,3
289,104,15
290,104,14
291,104,7
292,104,5
293,105,2
294,105,9
295,105,6
296,106,5
297,106,12
298,106,2
299,107,8
300,108,5
301,108,19
302,109,15
303,109,18
304,110,3
305,111,6
306,111,20
307,111,16
308,111,8
309,112,13
310,113,18
311,113,3
312,113,1
313,113,8
314,113,13
315,114,8
316,114,11
317,114,17
318,114,18
319,114,6
320,115,7
321,115,10
322,115,6
323,115,5
324,115,4
325,116,2
326,116,11
327,116,16
328,116,5
329,116,20
330,117,18
331,117,3
332,118,9
333,118,10
334,118,6
335,118,1
336,118,7
337,119,15
338,119,3
339,120,17
340,121,2
341,121,5
342,121,14
343,121,6
344,121,13
345,122,9
346,122,1
347,122,18
348,122,4
349,122,20
350,123,10
351,124,12
352,124,5
353,124,18
354,125,3
355,125,13
356,125,20
357,125,12
358,125,5
359,126,19
360,126,5
361,127,17
362,127,1
363,128,18
364,128,15
365,128,4
366,128,19
367,128,7
368,129,5
369,129,16
370,129,10
371,129,13
372,129,2
373,130,18
374,131,3
375,131,11
376,131,18
377,132,13
378,133,1
379,134,14
380,135,16
381,136,19
382,136,2
383,136,1
384,137,10
385,137,15
386,137,20
387,138,17
388,138,16
389,138,3
390,138,10
391,139,20
392,139,11
393,139,19
394,139,10
395,139,3
396,140,9
397,140,12
398,141,4
399,142,18
400,143,20
401,143,8
402,143,19
403,143,7
404,144,19
405,144,17
406,144,11
407,145,10
408,145,4
409,145,8
410,146,16
411,147,17
412,147,20
413,147,8
414,148,5
415,148,13
416,149,11
417,149,14
418,149,2
419,149,4
420,149,5
421,150,20
422,150,14
423,150,6
424,151,5
425,151,3
426,152,9
427,152,16
428,152,5
429,152,10
430,153,17
431,153,4
432,153,20
433,153,5
434,153,16
435,154,1
436,154,11
437,155,12
438,156,18
439,156,7
440,156,20
441,156,11
442,157,3
443,157,18
444,157,8
445,158,19
446,158,18
447,158,15
448,158,20
449,158,9
450,159,5
451,159,19
452,159,4
453,159,10
454,160,18
455,160,7
456,160,8
457,161,7
458,162,14
459,162,13
460,162,17
461,162,6
462,163,9
463,164,1
464,164,5
465,164,9
466,165,16
467,165,12
468,165,10
469,165,11
470,166,1
471,166,12
472,166,20
473,167,16
474,167,17
475,167,3
476,167,12
477,168,12
478,168,9
479,168,10
480,168,4
481,168,6
482,169,19
483,169,9
484,169,18
485,170,1
486,170,19
487,170,2
488,170,6
489,170,11
490,171,2
